Epoch: 1000, MSE_u: 0.9972, MSE_f: 18.0857, MSE: 19.0830
Epoch: 2000, MSE_u: 0.9999, MSE_f: 17.1431, MSE: 18.1430
Epoch: 3000, MSE_u: 1.0000, MSE_f: 17.0532, MSE: 18.0532
Epoch: 4000, MSE_u: 1.0000, MSE_f: 17.0166, MSE: 18.0166
Epoch: 5000, MSE_u: 1.0000, MSE_f: 17.0001, MSE: 18.0000
Epoch: 6000, MSE_u: 1.0000, MSE_f: 16.9925, MSE: 17.9925
Epoch: 7000, MSE_u: 1.0000, MSE_f: 16.9859, MSE: 17.9859
Epoch: 8000, MSE_u: 1.0000, MSE_f: 16.9545, MSE: 17.9545
Epoch: 9000, MSE_u: 1.0000, MSE_f: 15.8366, MSE: 16.8365
Epoch: 10000, MSE_u: 0.2351, MSE_f: 1.6841, MSE: 1.9191
Epoch: 11000, MSE_u: 0.2355, MSE_f: 1.0060, MSE: 1.2414
Epoch: 12000, MSE_u: 0.1582, MSE_f: 0.3446, MSE: 0.5028
Epoch: 13000, MSE_u: 0.0429, MSE_f: 0.2269, MSE: 0.2699
Epoch: 14000, MSE_u: 0.0019, MSE_f: 0.0543, MSE: 0.0562
Epoch: 15000, MSE_u: 0.0007, MSE_f: 0.0025, MSE: 0.0032
Epoch: 16000, MSE_u: 0.0007, MSE_f: 0.0022, MSE: 0.0028
Epoch: 17000, MSE_u: 0.0007, MSE_f: 0.0005, MSE: 0.0012
Epoch: 18000, MSE_u: 0.0007, MSE_f: 0.0009, MSE: 0.0016
Epoch: 19000, MSE_u: 0.0006, MSE_f: 0.0003, MSE: 0.0010
Epoch: 20000, MSE_u: 0.0006, MSE_f: 0.0003, MSE: 0.0009
Epoch: 21000, MSE_u: 0.0006, MSE_f: 0.0004, MSE: 0.0010
Epoch: 22000, MSE_u: 0.0005, MSE_f: 0.0003, MSE: 0.0008
Epoch: 23000, MSE_u: 0.0005, MSE_f: 0.0005, MSE: 0.0011
Epoch: 24000, MSE_u: 0.0005, MSE_f: 0.0003, MSE: 0.0008
Epoch: 25000, MSE_u: 0.0005, MSE_f: 0.0003, MSE: 0.0008
Epoch: 26000, MSE_u: 0.0004, MSE_f: 0.0033, MSE: 0.0037
Epoch: 27000, MSE_u: 0.0005, MSE_f: 0.0004, MSE: 0.0009
Epoch: 28000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0007
Epoch: 29000, MSE_u: 0.0004, MSE_f: 0.0004, MSE: 0.0009
Epoch: 30000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 31000, MSE_u: 0.0004, MSE_f: 0.0003, MSE: 0.0007
Epoch: 32000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 33000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 34000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 35000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 36000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 37000, MSE_u: 0.0004, MSE_f: 0.0020, MSE: 0.0024
Epoch: 38000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 39000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0006
Epoch: 40000, MSE_u: 0.0004, MSE_f: 0.0002, MSE: 0.0005
Epoch: 41000, MSE_u: 0.0003, MSE_f: 0.0002, MSE: 0.0005
Epoch: 42000, MSE_u: 0.0004, MSE_f: 0.0035, MSE: 0.0039
Epoch: 43000, MSE_u: 0.0003, MSE_f: 0.0002, MSE: 0.0005
Epoch: 44000, MSE_u: 0.0003, MSE_f: 0.0008, MSE: 0.0012
Epoch: 45000, MSE_u: 0.0003, MSE_f: 0.0002, MSE: 0.0005
Epoch: 46000, MSE_u: 0.0003, MSE_f: 0.0002, MSE: 0.0005
Epoch: 47000, MSE_u: 0.0003, MSE_f: 0.0004, MSE: 0.0007
Epoch: 48000, MSE_u: 0.0003, MSE_f: 0.0007, MSE: 0.0011
Epoch: 49000, MSE_u: 0.0003, MSE_f: 0.0002, MSE: 0.0005
Epoch: 50000, MSE_u: 0.0003, MSE_f: 0.0021, MSE: 0.0024
