Epoch: 1000, MSE_u: 0.9952, MSE_f: 18.4191, MSE: 19.4143
Epoch: 2000, MSE_u: 0.9999, MSE_f: 17.2024, MSE: 18.2022
Epoch: 3000, MSE_u: 1.0000, MSE_f: 16.9509, MSE: 17.9509
Epoch: 4000, MSE_u: 1.0000, MSE_f: 16.7739, MSE: 17.7739
Epoch: 5000, MSE_u: 1.0000, MSE_f: 16.7104, MSE: 17.7104
Epoch: 6000, MSE_u: 0.9999, MSE_f: 13.5874, MSE: 14.5874
Epoch: 7000, MSE_u: 0.9536, MSE_f: 4.8736, MSE: 5.8272
Epoch: 8000, MSE_u: 0.2986, MSE_f: 0.0278, MSE: 0.3264
Epoch: 9000, MSE_u: 0.2003, MSE_f: 0.0073, MSE: 0.2076
Epoch: 10000, MSE_u: 0.1794, MSE_f: 0.0069, MSE: 0.1863
Epoch: 11000, MSE_u: 0.1520, MSE_f: 0.0071, MSE: 0.1591
Epoch: 12000, MSE_u: 0.1270, MSE_f: 0.0066, MSE: 0.1336
Epoch: 13000, MSE_u: 0.0382, MSE_f: 0.0066, MSE: 0.0448
Epoch: 14000, MSE_u: 0.0002, MSE_f: 0.0008, MSE: 0.0011
Epoch: 15000, MSE_u: 0.0000, MSE_f: 0.0004, MSE: 0.0004
Epoch: 16000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 17000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 18000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 19000, MSE_u: 0.0000, MSE_f: 0.0017, MSE: 0.0017
Epoch: 20000, MSE_u: 0.0000, MSE_f: 0.0015, MSE: 0.0015
