Epoch: 1000, MSE_u: 0.9975, MSE_f: 17.6413, MSE: 18.6388
Epoch: 2000, MSE_u: 0.9998, MSE_f: 17.0728, MSE: 18.0726
Epoch: 3000, MSE_u: 1.0000, MSE_f: 16.9929, MSE: 17.9928
Epoch: 4000, MSE_u: 1.0000, MSE_f: 16.9583, MSE: 17.9583
Epoch: 5000, MSE_u: 1.0000, MSE_f: 16.9385, MSE: 17.9385
Epoch: 6000, MSE_u: 1.0000, MSE_f: 16.9222, MSE: 17.9222
Epoch: 7000, MSE_u: 1.0000, MSE_f: 16.9030, MSE: 17.9030
Epoch: 8000, MSE_u: 1.0000, MSE_f: 16.8927, MSE: 17.8927
Epoch: 9000, MSE_u: 1.0000, MSE_f: 16.8592, MSE: 17.8592
Epoch: 10000, MSE_u: 1.0000, MSE_f: 16.8428, MSE: 17.8428
Epoch: 11000, MSE_u: 1.0000, MSE_f: 16.8095, MSE: 17.8095
Epoch: 12000, MSE_u: 0.9999, MSE_f: 16.6072, MSE: 17.6071
Epoch: 13000, MSE_u: 0.2003, MSE_f: 2.5333, MSE: 2.7336
Epoch: 14000, MSE_u: 0.0002, MSE_f: 0.0083, MSE: 0.0084
Epoch: 15000, MSE_u: 0.0001, MSE_f: 0.0029, MSE: 0.0030
Epoch: 16000, MSE_u: 0.0001, MSE_f: 0.0019, MSE: 0.0020
Epoch: 17000, MSE_u: 0.0001, MSE_f: 0.0008, MSE: 0.0009
Epoch: 18000, MSE_u: 0.0001, MSE_f: 0.0006, MSE: 0.0007
Epoch: 19000, MSE_u: 0.0001, MSE_f: 0.0006, MSE: 0.0007
Epoch: 20000, MSE_u: 0.0001, MSE_f: 0.0004, MSE: 0.0005
Epoch: 21000, MSE_u: 0.0001, MSE_f: 0.0004, MSE: 0.0005
Epoch: 22000, MSE_u: 0.0001, MSE_f: 0.0004, MSE: 0.0005
Epoch: 23000, MSE_u: 0.0001, MSE_f: 0.0010, MSE: 0.0011
Epoch: 24000, MSE_u: 0.0001, MSE_f: 0.0007, MSE: 0.0008
Epoch: 25000, MSE_u: 0.0001, MSE_f: 0.0003, MSE: 0.0004
Epoch: 26000, MSE_u: 0.0001, MSE_f: 0.0007, MSE: 0.0008
Epoch: 27000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 28000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 29000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 30000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 31000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0003
Epoch: 32000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0002
Epoch: 33000, MSE_u: 0.0001, MSE_f: 0.0003, MSE: 0.0004
Epoch: 34000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 35000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0003
Epoch: 36000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0002
Epoch: 37000, MSE_u: 0.0001, MSE_f: 0.0013, MSE: 0.0014
Epoch: 38000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0002
Epoch: 39000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0002
Epoch: 40000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
Epoch: 41000, MSE_u: 0.0001, MSE_f: 0.0004, MSE: 0.0005
Epoch: 42000, MSE_u: 0.0001, MSE_f: 0.0001, MSE: 0.0002
Epoch: 43000, MSE_u: 0.0001, MSE_f: 0.0002, MSE: 0.0003
