Epoch: 75000, MSE_u: 0.0000, MSE_f: 0.0004, MSE: 0.0004
Epoch: 76000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 77000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 78000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 79000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 80000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 81000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 82000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 83000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 84000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 85000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 86000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 87000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 88000, MSE_u: 0.0000, MSE_f: 0.0003, MSE: 0.0003
Epoch: 89000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 90000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 91000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 92000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 93000, MSE_u: 0.0000, MSE_f: 0.0002, MSE: 0.0002
Epoch: 94000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 95000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 96000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 97000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 98000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 99000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 100000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
